start_date,end_date,rows_affected,seconds
2020-01-01,2020-01-02,1,3.01
2020-01-02,2020-01-03,58586,3.13
2020-01-03,2020-01-04,85160,3.49
2020-01-04,2020-01-05,110005,2.73
2020-01-05,2020-01-06,133572,2.83
2020-01-06,2020-01-07,155482,3.03
2020-01-07,2020-01-08,176337,2.9
2020-01-08,2020-01-09,196142,2.8
2020-01-09,2020-01-10,214697,2.55
2020-01-10,2020-01-11,231934,2.69
2020-01-11,2020-01-12,248073,3.4
2020-01-12,2020-01-13,263485,2.71
2020-01-13,2020-01-14,277703,2.65
2020-01-14,2020-01-15,291271,2.35
2020-01-15,2020-01-16,304129,2.63
2020-01-16,2020-01-17,316028,2.47
2020-01-17,2020-01-18,327242,2.72
2020-01-18,2020-01-19,337602,2.65
2020-01-19,2020-01-20,347371,2.89
2020-01-20,2020-01-21,356559,2.47
2020-01-21,2020-01-22,365230,2.73
2020-01-22,2020-01-23,373331,2.76
2020-01-23,2020-01-24,381059,2.76
2020-01-24,2020-01-25,388206,2.97
2020-01-25,2020-01-26,395087,3.18
2020-01-26,2020-01-27,401505,2.75
2020-01-27,2020-01-28,407374,2.43
2020-01-28,2020-01-29,413161,2.75
2020-01-29,2020-01-30,418475,2.54
2020-01-30,2020-01-31,423399,2.48
2020-01-31,2020-02-01,428162,2.5
