start_date,end_date,rows_affected,seconds
2020-01-01,2020-01-02,1,1.77
2020-01-02,2020-01-03,6118,2.76
2020-01-03,2020-01-04,9094,18.28
2020-01-04,2020-01-05,11914,2.44
2020-01-05,2020-01-06,14674,4.38
2020-01-06,2020-01-07,17321,2.54
2020-01-07,2020-01-08,19977,3.25
2020-01-08,2020-01-09,22472,2.32
2020-01-09,2020-01-10,24882,2.45
2020-01-10,2020-01-11,27173,2.47
2020-01-11,2020-01-12,29440,2.66
2020-01-12,2020-01-13,31538,2.57
2020-01-13,2020-01-14,33646,2.34
2020-01-14,2020-01-15,35648,2.21
2020-01-15,2020-01-16,37718,2.46
2020-01-16,2020-01-17,39706,2.31
2020-01-17,2020-01-18,41537,2.23
2020-01-18,2020-01-19,43300,2.47
2020-01-19,2020-01-20,45116,2.44
2020-01-20,2020-01-21,46818,2.51
2020-01-21,2020-01-22,48520,2.71
2020-01-22,2020-01-23,50181,2.31
2020-01-23,2020-01-24,51765,2.27
2020-01-24,2020-01-25,53290,2.34
2020-01-25,2020-01-26,54741,2.6
2020-01-26,2020-01-27,56137,2.45
2020-01-27,2020-01-28,57469,2.49
2020-01-28,2020-01-29,58824,2.46
2020-01-29,2020-01-30,60117,2.53
2020-01-30,2020-01-31,61432,2.22
2020-01-31,2020-02-01,62641,2.36
