start_date,end_date,rows_affected,seconds
2020-01-01,2020-01-02,1,1.64
2020-01-02,2020-01-03,3215,3.24
2020-01-03,2020-01-04,3352,3.11
2020-01-04,2020-01-05,3376,3.11
2020-01-05,2020-01-06,3550,2.96
2020-01-06,2020-01-07,3523,3.63
2020-01-07,2020-01-08,3714,3.14
2020-01-08,2020-01-09,3691,3.26
2020-01-09,2020-01-10,3772,3.02
2020-01-10,2020-01-11,3939,2.84
2020-01-11,2020-01-12,3991,3.19
2020-01-12,2020-01-13,3858,3.19
2020-01-13,2020-01-14,4000,3.28
2020-01-14,2020-01-15,4052,3.03
2020-01-15,2020-01-16,4284,3.2
2020-01-16,2020-01-17,4294,19.77
2020-01-17,2020-01-18,4303,3.16
2020-01-18,2020-01-19,4357,3.4
2020-01-19,2020-01-20,4642,3.57
2020-01-20,2020-01-21,4572,3.57
2020-01-21,2020-01-22,4566,3.38
2020-01-22,2020-01-23,4713,3.57
2020-01-23,2020-01-24,4742,3.19
2020-01-24,2020-01-25,4621,3.9
2020-01-25,2020-01-26,4819,3.32
2020-01-26,2020-01-27,4926,3.37
2020-01-27,2020-01-28,4848,3.38
2020-01-28,2020-01-29,4871,3.68
2020-01-29,2020-01-30,4973,3.61
2020-01-30,2020-01-31,5157,3.89
2020-01-31,2020-02-01,5145,3.68
